"Name","First_Name","Party","Twitter_Id"
"Klein","Ottilie","CDU/CSU","0"
"Klein","Volkmar","CDU/CSU","0"
"Klein-Schmeink","Maria","Bündnis 90/Die Grünen","18103366"
"Kleinwächter","Norbert","AfD","865920519668989955"
"Klinck","Kristian","SPD","0"
"Klingbeil","Lars","SPD","16255941"
"Klöckner","Julia","CDU/CSU","0"
"Klose","Annika","SPD","1460753227"
"Kluckert","Daniela","FDP","28327765"
"Klüssendorf","Tim","SPD","19160769"
"Knoerig","Axel","CDU/CSU","0"
"Kober","Pascal","FDP","19909974"
"Köhler","Lukas","FDP","898597063444877313"
"König","Anne","CDU/CSU","0"
"König","Jörn","AfD","960974630709284864"
"Koeppen","Jens","CDU/CSU","146376562"
"Körber","Carsten","CDU/CSU","1362372381814231041"
"Kofler","Bärbel","SPD","193629792"
"Komning","Enrico","AfD","781747720897892352"
"Konrad","Carina","FDP","874304935906729986"
"Koob","Markus","CDU/CSU","0"
"Kopf","Chantal","Bündnis 90/Die Grünen","489373270"
"Korte","Jan","Die Linke","18933321"
"Koß","Simona","SPD","0"
"Kotré","Steffen","AfD","912223443231428609"
"Krämer","Philip","Bündnis 90/Die Grünen","746767453951234048"
"Kraft","Laura","Bündnis 90/Die Grünen","1410671503679574016"
"Kraft","Rainer","AfD","804064797977444352"
"Kramme","Anette","SPD","1461705757"
"Kramp-Karrenbauer","Annegret","CDU/CSU","47620601"
"Kreiser","Dunja","SPD","0"
"Krichbaum","Gunther","CDU/CSU","0"
"Krings","Günter","CDU/CSU","392312829"
"Krischer","Oliver","Bündnis 90/Die Grünen","88630242"
"Kröber","Martin","SPD","0"
"Kruse","Michael","FDP","2823984824"
"Kuban","Tilman Moritz","CDU/CSU","0"
"Kubicki","Wolfgang","FDP","0"
"Kühn ","Christian","Bündnis 90/Die Grünen","1143130812"
"Kühnert","Kevin","SPD","253072210"
"Künast","Renate","Bündnis 90/Die Grünen","1425265488"
"Kuhle","Konstantin","FDP","475275997"
"Kurth","Markus","Bündnis 90/Die Grünen","150188536"
"Lahrkamp","Sarah","SPD","0"
"Lambsdorff","Alexander Graf","FDP","149299258"
"Lang","Ricarda","Bündnis 90/Die Grünen","1405886484"
"Lange","Ulrich","CDU/CSU","0"
"Larem","Andreas","SPD","0"
"Laschet","Armin","CDU/CSU","835541664"
"Latendorf","Ina","Die Linke","0"
"Launert","Silke","CDU/CSU","0"
"Lauterbach","Karl","SPD","3292982985"
"Lay","Caren","Die Linke","21404382"
"Lechte","Ulrich","FDP","988765113606918144"
"Lehmann","Jens","CDU/CSU","0"
"Lehmann","Sven","Bündnis 90/Die Grünen","16706236"
"Lehmann","Sylvia","SPD","2320712427"
"Lehrieder","Paul","CDU/CSU","0"
"Leikert","Katja","CDU/CSU","467381196"
"Leiser","Kevin","SPD","1365771819861557251"
"Lemke","Steffi","Bündnis 90/Die Grünen","17229513"
"Lenders","Jürgen","FDP","0"
"Lenk","Barbara","AfD","0"
"Lenkert","Ralph","Die Linke","0"
"Lenz","Andreas","CDU/CSU","0"
"Leye","Christian","Die Linke","0"
"Licina-Bode","Luiza","SPD","1398240466395611142"
"Lieb","Thorsten","FDP","2411398358"
"Liebert","Anja","Bündnis 90/Die Grünen","0"
"Limbacher","Esra-Leon","SPD","0"
"Limburg","Helge","Bündnis 90/Die Grünen","0"
"Lindemann","Lars","FDP","96146500"
"Lindh","Helge","SPD","0"
"Lindholz","Andrea","CDU/CSU","0"
"Lindner","Christian","FDP","2377682689"
"Lindner","Tobias","Bündnis 90/Die Grünen","21197524"
"Link","Michael Georg","FDP","0"
"Linnemann","Carsten","CDU/CSU","0"
"Lips","Patricia","CDU/CSU","0"
"Lötzsch","Gesine","Die Linke","24178198"
"Loop","Denise","Bündnis 90/Die Grünen","797403769378131968"
"Loos","Bernhard","CDU/CSU","0"
"Lucassen","Rüdiger","AfD","4875914470"
"Lucks","Max","Bündnis 90/Die Grünen","0"
"Luczak","Jan-Marco","CDU/CSU","22908417"
"Ludwig","Daniela","CDU/CSU","0"
"Lührmann","Anna","Bündnis 90/Die Grünen","1179715307440619522"
"Lütke","Kristine","FDP","875431735256920065"
"Lugk","Bettina","SPD","0"
"Luksic","Oliver","FDP","21144568"
"Lutze","Thomas","Die Linke","3667108397"
"Maas","Heiko","SPD","24158261"
"Machalet","Tanja","SPD","0"
"Mack","Klaus","CDU/CSU","0"
"Mackensen-Geis","Isabel","SPD","0"
"Magwas","Yvonne","CDU/CSU","0"
"Malottki","Erik von","SPD","63240190"
"Mann","Holger","SPD","0"
"Mansmann","Till","FDP","954049866283483136"
"Mansoori","Kaweh","SPD","2149926365"
"Martens","Zanda","SPD","1383821163151851532"
"Martin","Dorothee","SPD","272059119"
"Marvi","Parsa","SPD","973597518"
"Mascheck","Franziska","SPD","0"
"Mast","Katja","SPD","937678874095300609"
"Mattfeldt","Andreas","CDU/CSU","0"
"Mayer ","Stephan","CDU/CSU","0"
"Mayer","Zoe","Bündnis 90/Die Grünen","0"
"Mayer-Lay","Volker","CDU/CSU","0"
"Mehltretter","Andreas","SPD","0"
"Mehmet Ali","Takis","SPD","0"
"Meiser","Pascal","Die Linke","314534724"
"Meister","Michael","CDU/CSU","0"
"Menge","Susanne","Bündnis 90/Die Grünen","0"
"Merten","Anikó","FDP","0"
"Merz","Friedrich","CDU/CSU","1059395748289232896"
"Mesarosch","Robin","SPD","208413193"
"Metzler","Jan","CDU/CSU","0"
"Meyer","Christoph","FDP","861992050358616064"
"Miazga","Corinna","AfD","868762469115846657"
"Michaelsen","Swantje Henrike","Bündnis 90/Die Grünen","0"
"Michel","Kathrin","SPD","1166055765402144771"
"Middelberg","Mathias","CDU/CSU","0"
"Miersch","Matthias","SPD","0"
"Mieves","Matthias David","SPD","0"
